transcript gene 001_5d234 002_embABC 003_rootABC 004_15d124 005_leafABC 006_inf2FGH 007_nodABC 008_inf1ABC
MLOC_1000.1 MLOC_1000 4.05525 3.14581 0.909343 7.72702 5.9779 8.78202 7.40925 4.65153
MLOC_10001.2 MLOC_10001 0.850132 0.293078 0.0361432 0.368356 3.6177 1.05128e-06 6.48798 0.0561706
MLOC_10003.2 MLOC_10003 0.70877 0 0.0624638 4.08363 2.14895 0.0355248 0.0992426 0.0624526
MLOC_10007.2 MLOC_10007 24.0303 31.2998 49.2967 21.9567 17.1361 17.8627 71.623 15.5721
MLOC_10009.1 MLOC_10009 0 1.35236 0.265959 0 0 0 0 0
MLOC_10012.1 MLOC_10012 2.95333 2.82207 2.32161 1.09183 0.502159 9.24715 0.0708267 6.02061
MLOC_10013 MLOC_10013 1.56846 1.07424 3.56859 1.96789 1.04496 2.0142 5.11633 1.11577
MLOC_10017.3 MLOC_10017 1.20643 0 0 0.118714 0.0546549 0.0386105 0.142448 0
MLOC_10019 MLOC_10019 7.33758 7.2509 8.59665 3.05705 5.66276 6.15374 70.3897 5.79261
MLOC_10020.4 MLOC_10020 14.1766 9.0672 8.39281 13.0015 6.10524 19.0475 37.6329 13.938
MLOC_10022 MLOC_10022 52.5635 36.1198 37.7913 65.2444 33.0491 54.8368 89.8629 42.581
MLOC_10023.9 MLOC_10023 2.78509 2.62286 2.65222 4.38403 3.55167 6.17291 9.17441 4.2409
MLOC_10024.1 MLOC_10024 0.0880074 0.15039 0.340306 0.192279 0.174954 0.255727 0.0616607 0.0567106
MLOC_10026.1 MLOC_10026 2.08403 0.292368 0.142698 2.46319 0.500556 1.87523 4.21542 1.04515
MLOC_10027 MLOC_10027 11.1713 12.5443 16.302 9.53388 24.2212 9.96946 82.2129 7.07894
MLOC_10028.1 MLOC_10028 6.90528 1.14671 0.580545 2.45176 21.5973 3.54802 60.8834 2.94909
MLOC_1003.1 MLOC_1003 6.45265 10.8693 10.9814 8.70533 15.0268 0.414757 0.905854 0.540298
MLOC_10030.4 MLOC_10030 19.1085 15.9069 16.6533 23.2645 14.6747 29.1753 44.4464 18.1721
MLOC_10031.2 MLOC_10031 1.36749 1.93371 3.1766 0.41302 1.75797 1.13512 11.3278 0.75856
MLOC_10032.2 MLOC_10032 15.5839 20.3295 49.0965 20.8676 20.4274 26.8772 140.49 10.6727
MLOC_10033 MLOC_10033 11.6868 10.7374 10.8313 18.36 8.19962 14.9057 55.4987 10.925
MLOC_10039.2 MLOC_10039 21.7727 20.048 17.9201 16.6632 18.9634 15.7747 4.32094 5.66128
MLOC_10040 MLOC_10040 13.4924 25.3289 26.8858 7.15262 11.6328 21.0541 49.6035 20.1213
MLOC_10041.3 MLOC_10041 5.25111 6.33873 5.17611 5.23874 4.1211 7.57951 9.43674 7.93588
MLOC_10042.2 MLOC_10042 14.5448 12.7982 12.6975 27.9116 6.60832 20.7396 36.1822 18.0875
MLOC_10043 MLOC_10043 5.08969 6.74553 10.665 2.0437 6.5588 1.93031 40.7528 2.51776
MLOC_10044.1 MLOC_10044 0.262789 0.0896672 0 0.279066 0 0 0 0
MLOC_10045.1 MLOC_10045 0.170896 0.166729 1.44633 0.0709634 0.397745 2.69884 0.0633224 0.715179
MLOC_10046.2 MLOC_10046 71.0621 78.1387 59.0197 39.931 20.5814 16.0298 93.6796 17.7394
MLOC_10049 MLOC_10049 10.0154 67.5257 84.4985 4.04217 27.4903 6.47212 309.199 6.75797
MLOC_10050.1 MLOC_10050 0.991673 100.557 186.082 6.05392 37.1654 0.14852 1199.34 0.187904
MLOC_10051.2 MLOC_10051 30.9316 39.061 52.3168 53.7601 45.0163 22.1722 199.526 22.0118
