gene	module	isHub
MLOC_10003.2	004_15d124	TRUE
MLOC_10044.1	004_15d124	TRUE
MLOC_10147.5	004_15d124	TRUE
MLOC_10156	004_15d124	TRUE
MLOC_10169.2	004_15d124	TRUE
MLOC_10176.1	004_15d124	TRUE
MLOC_10177.1	004_15d124	TRUE
MLOC_10199.2	004_15d124	TRUE
MLOC_10304.3	004_15d124	TRUE
MLOC_10313.1	004_15d124	TRUE
MLOC_10316.1	004_15d124	TRUE
MLOC_10358.1	004_15d124	TRUE
MLOC_10361	004_15d124	TRUE
MLOC_10372	004_15d124	TRUE
MLOC_10392.5	004_15d124	TRUE
MLOC_10407.1	004_15d124	TRUE
MLOC_10408.1	004_15d124	TRUE
MLOC_10434	004_15d124	TRUE
MLOC_10450.1	004_15d124	TRUE
MLOC_10456.1	004_15d124	TRUE
MLOC_10500.1	004_15d124	TRUE
MLOC_10538.2	004_15d124	TRUE
MLOC_10584	004_15d124	TRUE
MLOC_10695.1	004_15d124	TRUE
MLOC_10725.1	004_15d124	TRUE
MLOC_10734	004_15d124	TRUE
MLOC_10763.2	004_15d124	TRUE
MLOC_10771	004_15d124	TRUE
MLOC_10826	004_15d124	TRUE
MLOC_10832.5	004_15d124	TRUE
MLOC_10895.2	004_15d124	TRUE
MLOC_10916	004_15d124	TRUE
MLOC_10922.1	004_15d124	TRUE
MLOC_10926.1	004_15d124	TRUE
MLOC_10928.2	004_15d124	TRUE
MLOC_10939	004_15d124	TRUE
MLOC_10940	004_15d124	TRUE
MLOC_10963.3	004_15d124	TRUE
MLOC_11007.1	004_15d124	TRUE
MLOC_11017.1	004_15d124	TRUE
MLOC_11028	004_15d124	TRUE
MLOC_11043	004_15d124	TRUE
MLOC_11096	004_15d124	TRUE
MLOC_11106.1	004_15d124	TRUE
MLOC_11124.1	004_15d124	TRUE
MLOC_11154.1	004_15d124	TRUE
MLOC_11181	004_15d124	TRUE
MLOC_11224.3	004_15d124	TRUE
MLOC_11234.1	004_15d124	TRUE
MLOC_1125.1	004_15d124	TRUE
MLOC_11260.1	004_15d124	TRUE
MLOC_11267.1	004_15d124	TRUE
MLOC_11303.1	004_15d124	TRUE
MLOC_11323.1	004_15d124	TRUE
MLOC_11336.1	004_15d124	TRUE
MLOC_11337	004_15d124	TRUE
MLOC_11338.3	004_15d124	TRUE
MLOC_11363.1	004_15d124	TRUE
MLOC_11390.1	004_15d124	TRUE
MLOC_11474.1	004_15d124	TRUE
MLOC_11487.1	004_15d124	TRUE
MLOC_11502	004_15d124	TRUE
MLOC_11507	004_15d124	TRUE
MLOC_11517.4	004_15d124	TRUE
MLOC_11524.1	004_15d124	TRUE
MLOC_11546.3	004_15d124	TRUE
MLOC_11551.2	004_15d124	TRUE
