transcript	domain
AK373741	IPR007679
AK373741	PF04601
AK370453	IPR002085
AK370453	PTHR11695
AK370453	PTHR11695:SF5
AK370453	IPR013149
AK370453	PF00107
MLOC_11890.6	PTHR20852
MLOC_11890.6	IPR008146
MLOC_11890.6	PF00120
MLOC_11890.6	PTHR20852:SF14
MLOC_11890.6	IPR008147
MLOC_11890.6	PF03951
MLOC_11890.6	PS00180
MLOC_11890.6	PS00181
MLOC_63217.1	IPR012552
MLOC_63217.1	PF08137
MLOC_69222.2	IPR017442
MLOC_69222.2	PF00069
MLOC_69222.2	IPR001611
MLOC_69222.2	PF00560
MLOC_69222.2	IPR013210
MLOC_69222.2	PF08263
AK364684	IPR001810
AK364684	PS50181
AK364684	PF00646
AK364684	IPR000225
AK364684	PS50176
AK364684	PTHR23315:SF7
AK364684	SM00256
AK364684	SM00185
AK364684	PF00514
AK364684	PTHR23315
MLOC_53969.5	IPR017442
MLOC_53969.5	PF00069
MLOC_53969.5	IPR000719
MLOC_53969.5	PS50011
MLOC_53969.5	IPR017441
MLOC_53969.5	PS00107
MLOC_53969.5	IPR001480
MLOC_53969.5	PF01453
MLOC_53969.5	IPR000858
MLOC_53969.5	PF00954
MLOC_53969.5	IPR008271
MLOC_53969.5	PS00108
MLOC_53969.5	PTHR24420:SF432
MLOC_53969.5	IPR003609
MLOC_53969.5	PS50948
MLOC_53969.5	PS50927
MLOC_53969.5	SM00108
MLOC_53969.5	PTHR24420
MLOC_53969.5	IPR013227
MLOC_53969.5	PF08276
AK354028	PTHR22912:SF51
AK354028	IPR023753
AK354028	PF07992
AK354028	PTHR22912
AK354028	IPR001327
AK354028	PF00070
AK354028	IPR008255
AK354028	PS00573
AK354028	IPR013027
AK354028	PR00368
AK354028	IPR000103
AK354028	PR00469
MLOC_70827.2	IPR004330
MLOC_70827.2	PF03101
MLOC_70827.2	IPR018289
MLOC_70827.2	PF10551
MLOC_70827.2	IPR007527
MLOC_70827.2	PF04434
MLOC_70827.2	IPR000679
MLOC_70827.2	PF00320
AK357414	IPR020846
AK357414	PS50850
AK357414	IPR011701
AK357414	PF07690
AK357414	PTHR24003:SF22
AK357414	PTHR24003
MLOC_6930.1	IPR014778
MLOC_6930.1	PF00249
MLOC_6930.1	IPR001789
MLOC_6930.1	PF00072
AK374913	IPR015865
AK374913	SM00904
AK374913	IPR005834
AK374913	PF00702
AK374913	IPR023468
AK374913	PTHR22749
AK374913	IPR005833
AK374913	PR00413
AK374913	PF01687
AK248680.1	IPR003579
AK248680.1	SM00175
AK248680.1	IPR001806
AK248680.1	PR00449
AK248680.1	PTHR24073
AK248680.1	PS51419
AK248680.1	PTHR24073:SF256
AK248680.1	PF00071
AK376811	PTHR24420
AK376811	IPR001245
AK376811	PF07714
AK376811	IPR000719
AK376811	PS50011
AK376811	IPR017441
AK376811	PS00107
AK376811	PTHR24420:SF779
AK376811	IPR001611
AK376811	PF00560
AK376811	IPR013210
AK376811	PF08263
AK354956|AK251077.1	IPR001753
AK354956|AK251077.1	PF00378
AK354956|AK251077.1	IPR006176
AK354956|AK251077.1	PF02737
AK354956|AK251077.1	IPR006108
AK354956|AK251077.1	PF00725
MLOC_71136.2	IPR002085
MLOC_71136.2	PTHR11695
MLOC_71136.2	IPR002328
MLOC_71136.2	PS00059
MLOC_71136.2	PTHR11695:SF285
MLOC_71136.2	IPR013154
MLOC_71136.2	PF08240
MLOC_71136.2	IPR013149
MLOC_71136.2	PF00107
MLOC_34456.1	IPR007213
MLOC_34456.1	PF04072
AK355146	PTHR11527
AK355146	IPR002068
AK355146	PS01031
AK355146	PF00011
MLOC_60297.1|AK357138	IPR003008
MLOC_60297.1|AK357138	PF00091
MLOC_60297.1|AK357138	IPR000217
MLOC_60297.1|AK357138	PR01161
MLOC_60297.1|AK357138	SM00864
MLOC_60297.1|AK357138	IPR018316
MLOC_60297.1|AK357138	PF03953
MLOC_60297.1|AK357138	SM00865
MLOC_60297.1|AK357138	PTHR11588
MLOC_60297.1|AK357138	IPR002452
MLOC_60297.1|AK357138	PR01162
MLOC_60297.1|AK357138	IPR017975
MLOC_60297.1|AK357138	PS00227
MLOC_60297.1|AK357138	IPR013838
MLOC_60297.1|AK357138	PS00228
MLOC_66787.1	IPR006461
MLOC_66787.1	PF04749
AK248551.1	IPR001834
AK248551.1	PR00406
AK248551.1	IPR001433
AK248551.1	PF00175
AK248551.1	IPR008333
AK248551.1	PF00970
AK248551.1	PTHR19370
AK248551.1	PTHR19370:SF11
AK248551.1	IPR001709
AK248551.1	PR00371
AK248551.1	IPR017927
AK248551.1	PS51384
AK364573	PTHR17130:SF11
AK364573	IPR019734
AK364573	PS50005
AK364573	IPR013026
AK364573	PS50293
AK364573	IPR001478
AK364573	PS50106
AK364573	PTHR17130
MLOC_59078.2	IPR000873
MLOC_59078.2	PF00501
MLOC_59078.2	PTHR24096
MLOC_59078.2	IPR020845
MLOC_59078.2	PS00455
MLOC_59078.2	PTHR24096:SF43
MLOC_66348.2	IPR003441
MLOC_66348.2	PF02365
AK358941	IPR024084
AK358941	PF00180
AK358941	IPR001804
AK358941	PTHR11835
AK358941	IPR004429
AK358941	PTHR11835:SF13
AK358941	IPR019818
AK358941	PS00470
MLOC_14795.8	IPR001611
MLOC_14795.8	PF00560
MLOC_14795.8	IPR001245
MLOC_14795.8	PF07714
MLOC_14795.8	IPR013210
MLOC_14795.8	PF08263
AK250831.1	IPR013149
AK250831.1	PF00107
AK250831.1	PTHR11695:SF34
AK250831.1	IPR002085
AK250831.1	PTHR11695
AK250831.1	IPR013154
AK250831.1	PF08240
MLOC_58291.1	IPR008581
MLOC_58291.1	PF05904
AK374555	IPR003612
AK374555	PF00234
AK374555	IPR000528
AK374555	PR00382
AK374555	SM00499
AK374555	PS00597
MLOC_51860.4	IPR013155
MLOC_51860.4	PF08264
MLOC_51860.4	IPR002300
MLOC_51860.4	PF00133
AK363284	IPR003347
AK363284	PS51184
AK363284	SM00558
AK363284	PTHR12549
AK363284	IPR001841
AK363284	PS50089
AK363284	IPR013129
AK363284	PF02373
AK363284	PTHR12549:SF1
MLOC_7225.1	IPR000504
MLOC_7225.1	PS50102
MLOC_7225.1	PTHR24012:SF188
MLOC_7225.1	PTHR24012
MLOC_7225.1	IPR001878
MLOC_7225.1	SM00343
MLOC_7225.1	PS50158
MLOC_7225.1	PF00076
MLOC_7225.1	SM00360
MLOC_7225.1	PF00098
MLOC_45713.1	IPR001220
MLOC_45713.1	PF00139
AK365216	PTHR21495:SF22
AK365216	PTHR21495
AK365216	IPR004265
AK365216	PF03018
AK365216	IPR001229
AK365216	SM00915
AK365216	PF01419
AK370442	IPR000559
AK370442	PF01268
AK370442	IPR020628
AK370442	PS00722
AK370442	PTHR10025
AK371271	IPR002401
AK371271	PR00463
AK371271	PTHR24298
AK371271	IPR017972
AK371271	PS00086
AK371271	IPR001128
AK371271	PF00067
AK371271	PR00385
MLOC_64460.1	PTHR22931:SF5
MLOC_64460.1	IPR000070
MLOC_64460.1	PF01095
MLOC_64460.1	PTHR22931
AK357435	PTHR12374
AK357435	IPR014778
AK357435	PF00249
AK357435	IPR001005
AK357435	SM00717
AK357435	IPR017930
AK357435	PS51294
MLOC_76686.3	IPR004345
MLOC_76686.3	PF03134
AK354858|AK250544.1	IPR000061
AK354858|AK250544.1	PS50128
AK354858|AK250544.1	IPR000467
AK354858|AK250544.1	PS50174
AK354858|AK250544.1	PF01585
AK354858|AK250544.1	SM00648
AK354858|AK250544.1	PTHR23340
AK354858|AK250544.1	PF01805
AK354858|AK250544.1	SM00443
AK372382	IPR003656
AK372382	PF02892
AK367465	IPR006911
AK367465	PF04826
AK367465	PTHR23315
AK367465	IPR000225
AK367465	PS50176
AK367465	PTHR23315:SF37
MLOC_67221.1	IPR022739
MLOC_67221.1	PF12142
MLOC_67221.1	IPR002227
MLOC_67221.1	PF00264
MLOC_67221.1	IPR022740
MLOC_67221.1	PF12143
AK361509	PTHR24298
AK361509	IPR017972
AK361509	PS00086
AK361509	IPR001128
AK361509	PR00385
AK361509	PTHR24298:SF44
AK361509	IPR002401
AK361509	PR00463
AK361509	PF00067
AK358163	IPR002213
AK358163	PF00201
AK358163	IPR004276
AK358163	PF03033
AK355001	PTHR13778:SF4
AK355001	IPR002495
AK355001	PF01501
AK355001	PTHR13778
AK365509	IPR000504
AK365509	SM00360
AK365509	PF00076
AK365509	PS50102
AK365509	PTHR24012:SF254
AK365509	PTHR24012
AK360145	IPR001841
AK360145	PS50089
AK360145	PTHR10044:SF7
AK360145	SM00184
AK360145	IPR019396
AK360145	PF10269
AK360145	PTHR10044
AK363250	IPR017442
AK363250	PF00069
AK363250	IPR001611
AK363250	PS51450
AK363250	PTHR24420
AK363250	PF00560
AK363250	PTHR24420:SF797
AK363250	IPR000719
AK363250	PS50011
MLOC_78993.1	IPR004320
MLOC_78993.1	PF03087
AK252327.1	PTHR22835
AK252327.1	IPR001087
AK252327.1	PF00657
AK252327.1	PTHR22835:SF39
AK362944	IPR006968
AK362944	PF04884
AK362944	PTHR12770:SF6
AK362944	PTHR12770
MLOC_78452.1	IPR002937
MLOC_78452.1	PF01593
MLOC_78452.1	PTHR10742:SF30
MLOC_78452.1	IPR001613
MLOC_78452.1	PR00757
MLOC_78452.1	PTHR10742
MLOC_12732.2	PTHR26402:SF303
MLOC_12732.2	IPR010402
MLOC_12732.2	PF06203
MLOC_12732.2	IPR001789
MLOC_12732.2	PS50110
MLOC_12732.2	PS51017
MLOC_12732.2	PTHR26402
MLOC_12732.2	PF00072
MLOC_12732.2	SM00448
AK364731	PTHR10706
AK363794	IPR001932
AK363794	PF00481
AK363794	SM00331
AK363794	SM00332
AK363794	PTHR13832:SF148
AK363794	IPR015655
AK363794	PTHR13832
MLOC_16711.1	IPR018249
