transcript	description
AK373741	Protein_of_unknown_function_(DUF569)
AK370453	Zinc-binding_dehydrogenase
MLOC_11890.6	Glutamine_synthetase,_catalytic_domain
MLOC_63217.1	DVL_family
MLOC_69222.2	Protein_kinase_domain
AK364684	F-box_domain_profile.
MLOC_53969.5	Protein_kinase_domain
AK354028	Pyridine_nucleotide-disulphide_oxidoreductase
MLOC_70827.2	FAR1_DNA-binding_domain
AK357414	Major_facilitator_superfamily_(MFS)_profile.
MLOC_6930.1	Myb-like_DNA-binding_domain
AK374913	haloacid_dehalogenase-like_hydrolase
AK248680.1	Transforming_protein_P21_ras_signature
AK376811	Protein_tyrosine_kinase
AK354956|AK251077.1	Enoyl-CoA_hydratase/isomerase_family
MLOC_71136.2	Zinc-containing_alcohol_dehydrogenases_signature.
MLOC_34456.1	Leucine_carboxyl_methyltransferase
AK355146	Heat_shock_hsp20_proteins_family_profile.
MLOC_60297.1|AK357138	Tubulin/FtsZ_family,_GTPase_domain
MLOC_66787.1	PLAC8_family
AK248551.1	Cytochrome_B5_reductase_signature
AK364573	TPR_repeat_profile.
MLOC_59078.2	AMP-binding_enzyme
MLOC_66348.2	No_apical_meristem_(NAM)_protein
AK358941	Isocitrate/isopropylmalate_dehydrogenase
MLOC_14795.8	Leucine_Rich_Repeat
AK250831.1	Zinc-binding_dehydrogenase
MLOC_58291.1	Plant_protein_of_unknown_function_(DUF863)
AK374555	Protease_inhibitor/seed_storage/LTP_family
MLOC_51860.4	Anticodon-binding_domain
AK363284	JmjC_domain_profile.
MLOC_7225.1	Eukaryotic_RNA_Recognition_Motif_(RRM)_profile.
MLOC_45713.1	Legume_lectin_domain
AK365216	Dirigent-like_protein
AK370442	Formate--tetrahydrofolate_ligase
AK371271	E-class_P450_group_I_signature
MLOC_64460.1	Pectinesterase
AK357435	Myb-like_DNA-binding_domain
MLOC_76686.3	TB2/DP1,_HVA22_family
AK354858|AK250544.1	SURP_motif_repeat_profile.
AK372382	BED_zinc_finger
AK367465	Protein_of_unknown_function_(DUF634)
MLOC_67221.1	Polyphenol_oxidase_middle_domain
AK361509	Cytochrome_P450_cysteine_heme-iron_ligand_signature.
AK358163	UDP-glucoronosyl_and_UDP-glucosyl_transferase
AK355001	Glycosyl_transferase_family_8
AK365509	RNA_recognition_motif._(a.k.a._RRM,_RBD,_or_RNP_domain)
AK360145	Zinc_finger_RING-type_profile.
AK363250	Protein_kinase_domain
MLOC_78993.1	Arabidopsis_protein_of_unknown_function
AK252327.1	GDSL-like_Lipase/Acylhydrolase
AK362944	Protein_of_unknown_function,_DUF647
MLOC_78452.1	Flavin_containing_amine_oxidoreductase
MLOC_12732.2	CCT_motif
AK363794	Protein_phosphatase_2C
MLOC_16711.1	EF-hand_calcium-binding_domain_profile.
AK354845	Cytidylyltransferase
AK374570	AP2/ERF_domain_profile.
AK252710.1	PLAC8_family
MLOC_57232.2	KNOX2_domain
MLOC_3156.1	alpha/beta_hydrolase_fold
MLOC_13110.1	Heavy-metal-associated_domain_profile.
AK374275	alpha/beta_hydrolase_fold
AK355139	Adenine_nucleotide_translocator_signature
MLOC_17529.1	Prokaryotic_membrane_lipoprotein_lipid_attachment_site_profile.
